GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:0000001	9	1.2%	0.11%	3.99E-8	2.26E-6	mitochondrion inheritance	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0035713	5	0.66%	0.02%	4.03E-8	2.26E-6	response to nitrogen dioxide	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0015943	5	0.66%	0.02%	4.03E-8	2.26E-6	formate biosynthetic process	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0009257	5	0.66%	0.02%	4.03E-8	2.26E-6	10-formyltetrahydrofolate biosynthetic process	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0032543	17	2.3%	0.49%	1.55E-7	7.1E-6	mitochondrial translation	AAF51748.1,AAN13636.2,AAF59209.1,AAN11068.1,AAF55148.2,AAF58460.1,AAF53877.1,AHN59908.1,AAF48956.2,AAF55172.2,AAF56239.2,AAF55632.1,AAF55624.1,AAF57137.1,AAF56796.2,AAF55944.2,AAF49855.1
GO:0030382	9	1.2%	0.12%	1.87E-7	8.45E-6	sperm mitochondrion organization	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0042790	8	1.1%	0.09%	2.01E-7	8.94E-6	nucleolar large rRNA transcription by RNA polymerase I	AAF55918.1,AAF55533.1,AAF53770.1,AAF51503.1,AAF52451.1,AGB93098.1,AGB93097.1,AAF52185.1
GO:0033260	7	0.93%	0.07%	3.87E-7	1.62E-5	nuclear DNA replication	AAF50735.1,AAF46023.1,AAF52038.1,AAF47566.1,AAF51500.1,AHN59355.1,ALI30530.1
GO:0010639	30	4.0%	1.4%	4.95E-7	1.99E-5	negative regulation of organelle organization	AGB93399.1,AAF57162.2,AAF46188.1,AAZ52499.1,AGB93418.1,AAN13882.1,AHN59423.1,ADV37544.1,AAF57128.1,AAF50740.1,AAF49663.3,AAF57173.1,AAF47244.2,AAN09178.1,AAF55450.1,AGB96057.1,AAF58684.1,AGB94562.1,AAZ52500.1,AAZ52502.1,AAZ52501.1,AGB95650.1,AHN56646.1,AAF57298.1,AAF52090.1,AHN57455.1,AAF55916.1,AGB96526.1,AAZ52498.1,AAZ52497.1
GO:0032053	7	0.93%	0.08%	6.39E-7	2.53E-5	ciliary basal body organization	ADV37544.1,AAF58528.2,AAF56983.2,AGB96298.1,AAF56305.1,AGB94562.1,AAF49663.3
